0,1,18
0,18,17
1,2,19
1,19,18
2,3,20
2,20,19
3,4,21
3,21,20
4,5,22
4,22,21
5,6,23
5,23,22
6,7,24
6,24,23
7,8,25
7,25,24
8,9,26
8,26,25
9,10,27
9,27,26
10,11,28
10,28,27
11,12,29
11,29,28
12,13,30
12,30,29
13,14,31
13,31,30
14,15,32
14,32,31
15,16,33
15,33,32
17,18,35
17,35,34
18,19,36
18,36,35
19,20,37
19,37,36
20,21,38
20,38,37
21,22,39
21,39,38
22,23,40
22,40,39
23,24,41
23,41,40
24,25,42
24,42,41
25,26,43
25,43,42
26,27,44
26,44,43
27,28,45
27,45,44
28,29,46
28,46,45
29,30,47
29,47,46
30,31,48
30,48,47
31,32,49
31,49,48
32,33,50
32,50,49
34,35,52
34,52,51
35,36,53
35,53,52
36,37,54
36,54,53
37,38,55
37,55,54
38,39,56
38,56,55
39,40,57
39,57,56
40,41,58
40,58,57
41,42,59
41,59,58
42,43,60
42,60,59
43,44,61
43,61,60
44,45,62
44,62,61
45,46,63
45,63,62
46,47,64
46,64,63
47,48,65
47,65,64
48,49,66
48,66,65
49,50,67
49,67,66
51,52,69
51,69,68
52,53,70
52,70,69
53,54,71
53,71,70
54,55,72
54,72,71
55,56,73
55,73,72
56,57,74
56,74,73
57,58,75
57,75,74
58,59,76
58,76,75
59,60,77
59,77,76
60,61,78
60,78,77
61,62,79
61,79,78
62,63,80
62,80,79
63,64,81
63,81,80
64,65,82
64,82,81
65,66,83
65,83,82
66,67,84
66,84,83
68,69,86
68,86,85
69,70,87
69,87,86
70,71,88
70,88,87
71,72,89
71,89,88
72,73,90
72,90,89
73,74,91
73,91,90
74,75,92
74,92,91
75,76,93
75,93,92
76,77,94
76,94,93
77,78,95
77,95,94
78,79,96
78,96,95
79,80,97
79,97,96
80,81,98
80,98,97
81,82,99
81,99,98
82,83,100
82,100,99
83,84,101
83,101,100
85,86,103
85,103,102
86,87,104
86,104,103
87,88,105
87,105,104
88,89,106
88,106,105
89,90,107
89,107,106
90,91,108
90,108,107
91,92,109
91,109,108
92,93,110
92,110,109
93,94,111
93,111,110
94,95,112
94,112,111
95,96,113
95,113,112
96,97,114
96,114,113
97,98,115
97,115,114
98,99,116
98,116,115
99,100,117
99,117,116
100,101,118
100,118,117
102,103,120
102,120,119
103,104,121
103,121,120
104,105,122
104,122,121
105,106,123
105,123,122
106,107,124
106,124,123
107,108,125
107,125,124
108,109,126
108,126,125
109,110,127
109,127,126
110,111,128
110,128,127
111,112,129
111,129,128
112,113,130
112,130,129
113,114,131
113,131,130
114,115,132
114,132,131
115,116,133
115,133,132
116,117,134
116,134,133
117,118,135
117,135,134
119,120,137
119,137,136
120,121,138
120,138,137
121,122,139
121,139,138
122,123,140
122,140,139
123,124,141
123,141,140
124,125,142
124,142,141
125,126,143
125,143,142
126,127,144
126,144,143
127,128,145
127,145,144
128,129,146
128,146,145
129,130,147
129,147,146
130,131,148
130,148,147
131,132,149
131,149,148
132,133,150
132,150,149
133,134,151
133,151,150
134,135,152
134,152,151
136,137,154
136,154,153
137,138,155
137,155,154
138,139,156
138,156,155
139,140,157
139,157,156
140,141,158
140,158,157
141,142,159
141,159,158
142,143,160
142,160,159
143,144,161
143,161,160
144,145,162
144,162,161
145,146,163
145,163,162
146,147,164
146,164,163
147,148,165
147,165,164
148,149,166
148,166,165
149,150,167
149,167,166
150,151,168
150,168,167
151,152,169
151,169,168
153,154,171
153,171,170
154,155,172
154,172,171
155,156,173
155,173,172
156,157,174
156,174,173
157,158,175
157,175,174
158,159,176
158,176,175
159,160,177
159,177,176
160,161,178
160,178,177
161,162,179
161,179,178
162,163,180
162,180,179
163,164,181
163,181,180
164,165,182
164,182,181
165,166,183
165,183,182
166,167,184
166,184,183
167,168,185
167,185,184
168,169,186
168,186,185
170,171,188
170,188,187
171,172,189
171,189,188
172,173,190
172,190,189
173,174,191
173,191,190
174,175,192
174,192,191
175,176,193
175,193,192
176,177,194
176,194,193
177,178,195
177,195,194
178,179,196
178,196,195
179,180,197
179,197,196
180,181,198
180,198,197
181,182,199
181,199,198
182,183,200
182,200,199
183,184,201
183,201,200
184,185,202
184,202,201
185,186,203
185,203,202
187,188,205
187,205,204
188,189,206
188,206,205
189,190,207
189,207,206
190,191,208
190,208,207
191,192,209
191,209,208
192,193,210
192,210,209
193,194,211
193,211,210
194,195,212
194,212,211
195,196,213
195,213,212
196,197,214
196,214,213
197,198,215
197,215,214
198,199,216
198,216,215
199,200,217
199,217,216
200,201,218
200,218,217
201,202,219
201,219,218
202,203,220
202,220,219
204,205,222
204,222,221
205,206,223
205,223,222
206,207,224
206,224,223
207,208,225
207,225,224
208,209,226
208,226,225
209,210,227
209,227,226
210,211,228
210,228,227
211,212,229
211,229,228
212,213,230
212,230,229
213,214,231
213,231,230
214,215,232
214,232,231
215,216,233
215,233,232
216,217,234
216,234,233
217,218,235
217,235,234
218,219,236
218,236,235
219,220,237
219,237,236
221,222,239
221,239,238
222,223,240
222,240,239
223,224,241
223,241,240
224,225,242
224,242,241
225,226,243
225,243,242
226,227,244
226,244,243
227,228,245
227,245,244
228,229,246
228,246,245
229,230,247
229,247,246
230,231,248
230,248,247
